Date,META
2012/11/28,38.55462799
2012/11/29,42.7352503
2012/11/30,39.94816876
2012/12/1,32.9804649
2012/12/2,37.62560081
2012/12/3,38.55462799
2012/12/4,39.01914158
2012/12/5,39.01914158
2012/12/6,39.94816876
2012/12/7,37.62560081
2012/12/8,31.12241054
2012/12/9,37.62560081
2012/12/10,39.01914158
2012/12/11,36.69657363
2012/12/12,38.0901144
2012/12/13,40.41268235
2012/12/14,36.69657363
2012/12/15,31.12241054
2012/12/16,30.65789695
2012/12/17,34.83851926
2012/12/18,35.30303286
2012/12/19,37.62560081
2012/12/20,38.0901144
2012/12/21,32.05143772
2012/12/22,26.01276105
2012/12/23,28.335329
2012/12/24,28.79984259
2012/12/25,29.26435618
2012/12/26,33.44497849
2012/12/27,36.69657363
2012/12/28,32.9804649
2012/12/29,30.19338336
2012/12/30,27.87081541
2012/12/31,26.01276105
2013/1/1,26.94178823
2013/1/2,36.24895144
2013/1/3,39.18805561
2013/1/4,36.73880213
2013/1/5,32.81999657
2013/1/6,28.90119101
2013/1/7,35.75910074
2013/1/8,36.24895144
2013/1/9,40.167757
2013/1/10,40.65760769
2013/1/11,39.6779063
2013/1/12,30.3707431
2013/1/13,30.86059379
2013/1/14,40.167757
2013/1/15,41.63730909
2013/1/16,38.69820491
2013/1/17,46.04596534
2013/1/18,36.24895144
2013/1/19,32.81999657
2013/1/20,30.3707431
2013/1/21,34.77939935
2013/1/22,37.71850352
2013/1/23,42.61701048
2013/1/24,44.57641326
2013/1/25,38.20835422
2013/1/26,31.84029518
2013/1/27,31.35044449
2013/1/28,40.65760769
2013/1/29,42.61701048
2013/1/30,42.61701048
2013/1/31,39.18805561
2013/2/1,37.22865283
2013/2/2,29.39104171
2013/2/3,31.84029518
2013/2/4,40.65760769
2013/2/5,45.55611465
2013/2/6,42.61701048
2013/2/7,43.59671187
2013/2/8,37.22865283
2013/2/9,31.35044449
2013/2/10,31.84029518
2013/2/11,37.22865283
2013/2/12,38.69820491
2013/2/13,44.08656256
2013/2/14,40.65760769
2013/2/15,40.65760769
2013/2/16,29.8808924
2013/2/17,32.81999657
2013/2/18,43.10686117
2013/2/19,45.55611465
2013/2/20,43.10686117
2013/2/21,46.04596534
2013/2/22,40.167757
2013/2/23,34.28954866
2013/2/24,30.86059379
2013/2/25,42.12715978
2013/2/26,43.10686117
2013/2/27,39.18805561
