Date,AMZN
2014/3/1,11.99041481
2014/3/2,5.138749204
2014/3/3,27.40666242
2014/3/4,30.83249522
2014/3/5,32.54541163
2014/3/6,30.83249522
2014/3/7,22.26791322
2014/3/8,10.27749841
2014/3/9,6.851665605
2014/3/10,29.11957882
2014/3/11,27.40666242
2014/3/12,25.69374602
2014/3/13,42.82291003
2014/3/14,39.39707723
2014/3/15,11.99041481
2014/3/16,6.851665605
2014/3/17,30.83249522
2014/3/18,23.98082962
2014/3/19,25.69374602
2014/3/20,32.54541163
2014/3/21,23.98082962
2014/3/22,10.27749841
2014/3/23,6.851665605
2014/3/24,27.40666242
2014/3/25,27.40666242
2014/3/26,30.83249522
2014/3/27,34.25832803
2014/3/28,32.54541163
2014/3/29,13.70333121
2014/3/30,8.564582007
2014/3/31,25.69374602
2014/4/1,29.11957882
2014/4/2,46.59132612
2014/4/3,45.13534718
2014/4/4,42.22338929
2014/4/5,11.64783153
2014/4/6,8.735873647
2014/4/7,34.94349459
2014/4/8,42.22338929
2014/4/9,42.22338929
2014/4/10,40.76741035
2014/4/11,45.13534718
2014/4/12,13.10381047
2014/4/13,11.64783153
2014/4/14,39.31143141
2014/4/15,34.94349459
2014/4/16,36.39947353
2014/4/17,42.22338929
2014/4/18,24.751642
2014/4/19,11.64783153
2014/4/20,8.735873647
2014/4/21,33.48751565
2014/4/22,34.94349459
2014/4/23,48.04730506
2014/4/24,104.8304838
2014/4/25,145.5978941
2014/4/26,39.31143141
2014/4/27,21.83968412
2014/4/28,85.90275753
2014/4/29,59.69513659
2014/4/30,50.95926294
2014/5/1,62.60709447
2014/5/2,45.13534718
2014/5/3,10.19185259
2014/5/4,7.279894706
2014/5/5,42.22338929
2014/5/6,39.31143141
2014/5/7,52.41524188
2014/5/8,53.87122082
2014/5/9,52.41524188
2014/5/10,16.01576835
2014/5/11,7.279894706
2014/5/12,42.22338929
2014/5/13,40.76741035
2014/5/14,36.39947353
2014/5/15,46.59132612
2014/5/16,27.66359988
2014/5/17,10.19185259
2014/5/18,8.735873647
2014/5/19,36.39947353
2014/5/20,39.31143141
2014/5/21,43.67936823
2014/5/22,40.76741035
2014/5/23,36.39947353
2014/5/24,13.10381047
2014/5/25,11.64783153
2014/5/26,8.735873647
2014/5/27,29.11957882
2014/5/28,33.48751565
2014/5/29,36.39947353
2014/5/30,26.20762094
2014/5/31,8.735873647
2014/6/1,11.64783153
2014/6/2,24.751642
2014/6/3,23.29566306
2014/6/4,33.48751565
2014/6/5,65.51905235
2014/6/6,61.15111553
2014/6/7,21.83968412
2014/6/8,8.735873647
2014/6/9,34.94349459
2014/6/10,42.22338929
2014/6/11,37.85545247
2014/6/12,48.04730506
2014/6/13,33.48751565
2014/6/14,13.10381047
2014/6/15,10.19185259
2014/6/16,30.57555776
2014/6/17,37.85545247
2014/6/18,97.55058906
2014/6/19,85.90275753
2014/6/20,40.76741035
2014/6/21,11.64783153
2014/6/22,5.823915765
2014/6/23,33.48751565
2014/6/24,37.85545247
2014/6/25,36.39947353
2014/6/26,30.57555776
2014/6/27,30.57555776
2014/6/28,8.735873647
2014/6/29,10.19185259
2014/6/30,24.751642
