Date,MSFT
2012/12/10,26.94195332
2012/12/11,39.66454238
2012/12/12,41.16131757
2012/12/13,28.4387285
2012/12/14,26.94195332
2012/12/15,14.21936425
2012/12/16,12.72258907
2012/12/17,29.93550369
2012/12/18,26.94195332
2012/12/19,27.69034091
2012/12/20,26.19356572
2012/12/21,30.68389128
2012/12/22,11.22581388
2012/12/23,7.483875921
2012/12/24,17.96130221
2012/12/25,11.97420147
2012/12/26,20.95485258
2012/12/27,23.20001536
2012/12/28,21.70324017
2012/12/29,19.4580774
2012/12/30,7.483875921
2012/12/31,23.94840295
2013/1/1,17.21291462
2013/1/2,38.95554361
2013/1/3,39.86148649
2013/1/4,31.70800061
2013/1/5,19.93074324
2013/1/6,13.58914312
2013/1/7,26.27234337
2013/1/8,30.80205774
2013/1/9,29.89611486
2013/1/10,38.04960074
2013/1/11,38.95554361
2013/1/12,14.495086
2013/1/13,10.8713145
2013/1/14,33.51988636
2013/1/15,33.51988636
2013/1/16,30.80205774
2013/1/17,34.42582924
2013/1/18,30.80205774
2013/1/19,9.059428747
2013/1/20,10.8713145
2013/1/21,19.93074324
2013/1/22,36.23771499
2013/1/23,30.80205774
2013/1/24,90.59428747
2013/1/25,74.28731572
2013/1/26,23.55451474
2013/1/27,13.58914312
2013/1/28,35.33177211
2013/1/29,28.99017199
2013/1/30,30.80205774
2013/1/31,32.61394349
2013/2/1,35.33177211
2013/2/2,18.11885749
2013/2/3,9.059428747
2013/2/4,33.51988636
2013/2/5,32.61394349
2013/2/6,22.64857187
2013/2/7,36.23771499
2013/2/8,27.17828624
2013/2/9,11.77725737
2013/2/10,9.059428747
2013/2/11,27.17828624
2013/2/12,29.89611486
2013/2/13,36.23771499
2013/2/14,29.89611486
2013/2/15,23.55451474
2013/2/16,10.8713145
2013/2/17,10.8713145
2013/2/18,18.11885749
2013/2/19,23.55451474
2013/2/20,24.46045762
2013/2/21,28.08422912
2013/2/22,18.11885749
2013/2/23,8.153485872
2013/2/24,12.68320025
2013/2/25,25.36640049
2013/2/26,22.64857187
2013/2/27,20.83668612
2013/2/28,23.55451474
2013/3/1,28.99017199
2013/3/2,12.68320025
2013/3/3,11.77725737
2013/3/4,23.55451474
2013/3/5,34.42582924
2013/3/6,41.67337224
2013/3/7,30.80205774
2013/3/8,26.27234337
2013/3/9,9.965371622
2013/3/10,10.8713145
2013/3/11,20.83668612
2013/3/12,25.36640049
2013/3/13,23.55451474
2013/3/14,26.27234337
2013/3/15,21.74262899
2013/3/16,13.58914312
2013/3/17,9.965371622
2013/3/18,28.08422912
2013/3/19,19.93074324
2013/3/20,19.02480037
2013/3/21,20.83668612
2013/3/22,24.46045762
2013/3/23,10.8713145
2013/3/24,11.77725737
2013/3/25,19.93074324
2013/3/26,26.27234337
2013/3/27,19.02480037
2013/3/28,26.27234337
2013/3/29,13.58914312
2013/3/30,14.495086
2013/3/31,12.68320025
2013/4/1,20.83668612
2013/4/2,31.70800061
2013/4/3,27.17828624
2013/4/4,21.74262899
2013/4/5,23.55451474
2013/4/6,8.153485872
2013/4/7,9.059428747
2013/4/8,19.02480037
2013/4/9,37.14365786
2013/4/10,44.39120086
2013/4/11,71.5694871
2013/4/12,41.67337224
2013/4/13,14.495086
2013/4/14,11.77725737
2013/4/15,34.42582924
2013/4/16,37.14365786
2013/4/17,25.36640049
2013/4/18,53.45062961
2013/4/19,61.60411548
2013/4/20,19.02480037
2013/4/21,13.58914312
2013/4/22,50.73280098
2013/4/23,48.01497236
2013/4/24,49.82685811
2013/4/25,58.88628686
2013/4/26,35.33177211
2013/4/27,15.40102887
2013/4/28,9.059428747
2013/4/29,37.14365786
2013/4/30,47.10902948
2013/5/1,48.01497236
2013/5/2,41.67337224
2013/5/3,44.39120086
2013/5/4,16.30697174
2013/5/5,6.341600123
2013/5/6,41.67337224
2013/5/7,40.76742936
2013/5/8,33.51988636
2013/5/9,31.70800061
2013/5/10,34.42582924
2013/5/11,11.77725737
2013/5/12,8.153485872
2013/5/13,33.51988636
2013/5/14,36.23771499
2013/5/15,32.61394349
2013/5/16,47.10902948
2013/5/17,61.60411548
2013/5/18,20.83668612
2013/5/19,12.68320025
2013/5/20,49.82685811
2013/5/21,90.59428747
2013/5/22,69.75760135
2013/5/23,43.48525799
2013/5/24,39.86148649
2013/5/25,13.58914312
2013/5/26,9.059428747
2013/5/27,13.58914312
2013/5/28,38.95554361
2013/5/29,33.51988636
2013/5/30,38.04960074
2013/5/31,32.61394349
2013/6/1,14.495086
2013/6/2,9.965371622
2013/6/3,28.08422912
2013/6/4,31.70800061
2013/6/5,27.17828624
2013/6/6,38.95554361
2013/6/7,31.70800061
2013/6/8,18.11885749
2013/6/9,11.77725737
2013/6/10,35.33177211
2013/6/11,47.10902948
2013/6/12,43.48525799
2013/6/13,37.14365786
2013/6/14,34.42582924
2013/6/15,18.11885749
2013/6/16,11.77725737
2013/6/17,27.17828624
2013/6/18,24.46045762
2013/6/19,29.89611486
2013/6/20,38.04960074
2013/6/21,30.80205774
2013/6/22,13.58914312
2013/6/23,10.8713145
2013/6/24,25.36640049
2013/6/25,28.08422912
2013/6/26,35.33177211
2013/6/27,26.27234337
2013/6/28,28.08422912
2013/6/29,10.8713145
2013/6/30,8.153485872
2013/7/1,28.99017199
2013/7/2,26.91944542
2013/7/3,22.77799228
2013/7/4,16.56581257
2013/7/5,16.56581257
2013/7/6,10.35363285
2013/7/7,8.282906283
2013/7/8,22.77799228
2013/7/9,18.63653914
2013/7/10,20.70726571
2013/7/11,57.98034398
2013/7/12,45.55598456
2013/7/13,18.63653914
2013/7/14,12.42435942
2013/7/15,26.91944542
2013/7/16,39.34380484
2013/7/17,37.27307827
2013/7/18,72.47542998
2013/7/19,161.5166725
2013/7/20,49.6974377
2013/7/21,26.91944542
2013/7/22,68.33397683
2013/7/23,51.76816427
2013/7/24,43.48525799
2013/7/25,39.34380484
2013/7/26,35.2023517
2013/7/27,14.495086
2013/7/28,16.56581257
2013/7/29,31.06089856
2013/7/30,35.2023517
2013/7/31,33.13162513
2013/8/1,22.77799228
2013/8/2,33.13162513
2013/8/3,24.84871885
2013/8/4,4.141453141
2013/8/5,31.06089856
2013/8/6,26.91944542
2013/8/7,22.77799228
2013/8/8,33.13162513
2013/8/9,35.2023517
2013/8/10,10.35363285
2013/8/11,8.282906283
2013/8/12,24.84871885
2013/8/13,31.06089856
2013/8/14,35.2023517
2013/8/15,39.34380484
2013/8/16,31.06089856
2013/8/17,10.35363285
2013/8/18,8.282906283
2013/8/19,26.91944542
2013/8/20,28.99017199
2013/8/21,33.13162513
2013/8/22,31.06089856
2013/8/23,207.0726571
2013/8/24,57.98034398
2013/8/25,24.84871885
2013/8/26,57.98034398
2013/8/27,53.83889084
2013/8/28,37.27307827
2013/8/29,28.99017199
2013/8/30,35.2023517
2013/8/31,16.56581257
2013/9/1,12.42435942
2013/9/2,14.495086
2013/9/3,161.5166725
2013/9/4,84.8997894
2013/9/5,57.98034398
2013/9/6,41.41453141
2013/9/7,12.42435942
2013/9/8,14.495086
2013/9/9,35.2023517
2013/9/10,37.27307827
2013/9/11,47.62671113
2013/9/12,37.27307827
2013/9/13,35.2023517
2013/9/14,14.495086
2013/9/15,18.63653914
2013/9/16,35.2023517
2013/9/17,60.05107055
2013/9/18,45.55598456
2013/9/19,41.41453141
2013/9/20,37.27307827
2013/9/21,14.495086
2013/9/22,14.495086
2013/9/23,47.62671113
2013/9/24,39.34380484
2013/9/25,31.06089856
2013/9/26,28.99017199
2013/9/27,37.27307827
2013/9/28,20.70726571
2013/9/29,8.282906283
2013/9/30,35.2023517
2013/10/1,41.41453141
2013/10/2,46.01614602
2013/10/3,30.37065637
2013/10/4,34.97227097
2013/10/5,17.48613549
2013/10/6,6.442260442
2013/10/7,23.00807301
2013/10/8,31.29097929
2013/10/9,27.60968761
2013/10/10,37.73323973
2013/10/11,32.21130221
2013/10/12,15.64548965
2013/10/13,8.282906283
2013/10/14,30.37065637
2013/10/15,37.73323973
2013/10/16,39.57388557
2013/10/17,42.33485433
2013/10/18,35.89259389
2013/10/19,18.40645841
