Date,AAPL
2013/4/18,406.6122112
2013/4/19,349.5438307
2013/4/20,107.0032135
2013/4/21,71.33547565
2013/4/22,356.6773783
2013/4/23,713.3547565
2013/4/24,606.3515431
2013/4/25,328.143188
2013/4/26,285.3419026
2013/4/27,92.73611835
2013/4/28,64.20192809
2013/4/29,285.3419026
2013/4/30,356.6773783
2013/5/1,342.4102831
2013/5/2,299.6089977
2013/5/3,306.7425453
2013/5/4,85.60257078
2013/5/5,64.20192809
2013/5/6,278.208355
2013/5/7,292.4754502
2013/5/8,285.3419026
2013/5/9,271.0748075
2013/5/10,242.5406172
2013/5/11,64.20192809
2013/5/12,57.06838052
2013/5/13,214.006427
2013/5/14,249.6741648
2013/5/15,285.3419026
2013/5/16,263.9412599
2013/5/17,228.2735221
2013/5/18,64.20192809
2013/5/19,49.93483296
2013/5/20,221.1399745
2013/5/21,263.9412599
2013/5/22,221.1399745
2013/5/23,214.006427
2013/5/24,178.3386891
2013/5/25,64.20192809
2013/5/26,42.80128539
2013/5/27,57.06838052
2013/5/28,221.1399745
2013/5/29,214.006427
2013/5/30,199.7393318
2013/5/31,199.7393318
2013/6/1,71.33547565
2013/6/2,42.80128539
2013/6/3,178.3386891
2013/6/4,199.7393318
2013/6/5,206.8728794
2013/6/6,171.2051416
2013/6/7,192.6057843
2013/6/8,57.06838052
2013/6/9,42.80128539
2013/6/10,363.8109258
2013/6/11,278.208355
2013/6/12,206.8728794
2013/6/13,171.2051416
2013/6/14,164.071594
2013/6/15,64.20192809
2013/6/16,42.80128539
2013/6/17,164.071594
2013/6/18,171.2051416
2013/6/19,178.3386891
2013/6/20,192.6057843
2013/6/21,171.2051416
2013/6/22,49.93483296
2013/6/23,28.53419026
2013/6/24,206.8728794
2013/6/25,192.6057843
2013/6/26,199.7393318
2013/6/27,192.6057843
2013/6/28,214.006427
2013/6/29,57.06838052
2013/6/30,42.80128539
2013/7/1,199.7393318
2013/7/2,223.9501599
2013/7/3,193.6866248
2013/7/4,66.57977728
2013/7/5,157.3703827
2013/7/6,66.57977728
2013/7/7,42.36894918
2013/7/8,169.4757967
2013/7/9,187.6339178
2013/7/10,193.6866248
2013/7/11,211.8447459
2013/7/12,187.6339178
2013/7/13,60.52707025
2013/7/14,42.36894918
2013/7/15,169.4757967
2013/7/16,181.5812108
2013/7/17,187.6339178
2013/7/18,211.8447459
2013/7/19,205.7920389
2013/7/20,60.52707025
2013/7/21,42.36894918
2013/7/22,193.6866248
2013/7/23,405.5313707
2013/7/24,478.163855
2013/7/25,290.5299372
2013/7/26,223.9501599
2013/7/27,78.68519133
2013/7/28,42.36894918
2013/7/29,211.8447459
2013/7/30,242.108281
2013/7/31,217.8974529
2013/8/1,217.8974529
2013/8/2,230.002867
2013/8/3,84.73789835
2013/8/4,72.6324843
2013/8/5,254.2136951
2013/8/6,230.002867
2013/8/7,217.8974529
2013/8/8,205.7920389
2013/8/9,199.7393318
2013/8/10,66.57977728
2013/8/11,48.4216562
2013/8/12,223.9501599
2013/8/13,369.2151285
2013/8/14,466.0584409
2013/8/15,375.2678356
2013/8/16,278.4245232
2013/8/17,78.68519133
2013/8/18,60.52707025
2013/8/19,290.5299372
2013/8/20,272.3718161
2013/8/21,242.108281
2013/8/22,284.4772302
2013/8/23,236.055574
2013/8/24,84.73789835
2013/8/25,60.52707025
2013/8/26,230.002867
2013/8/27,230.002867
2013/8/28,230.002867
2013/8/29,193.6866248
2013/8/30,199.7393318
2013/8/31,66.57977728
2013/9/1,42.36894918
2013/9/2,66.57977728
2013/9/3,223.9501599
2013/9/4,223.9501599
2013/9/5,217.8974529
2013/9/6,217.8974529
2013/9/7,72.6324843
2013/9/8,54.47436323
2013/9/9,272.3718161
2013/9/10,605.2707025
2013/9/11,605.2707025
2013/9/12,411.5840777
2013/9/13,302.6353513
2013/9/14,96.8433124
2013/9/15,60.52707025
2013/9/16,290.5299372
2013/9/17,290.5299372
2013/9/18,284.4772302
2013/9/19,272.3718161
2013/9/20,326.8461794
2013/9/21,102.8960194
2013/9/22,78.68519133
2013/9/23,447.9003199
2013/9/24,345.0043004
2013/9/25,278.4245232
2013/9/26,236.055574
2013/9/27,217.8974529
2013/9/28,72.6324843
2013/9/29,42.36894918
2013/9/30,217.8974529
2013/10/1,242.108281
2013/10/2,222.7396185
2013/10/3,184.0022936
2013/10/4,188.8444592
2013/10/5,48.4216562
2013/10/6,53.26382182
2013/10/7,208.2131217
2013/10/8,203.370956
2013/10/9,213.0552873
2013/10/10,213.0552873
2013/10/11,179.1601279
2013/10/12,58.10598744
2013/10/13,38.73732496
2013/10/14,188.8444592
2013/10/15,237.2661154
2013/10/16,222.7396185
2013/10/17,217.8974529
2013/10/18,256.6347779
2013/10/19,82.31681554
2013/10/20,58.10598744
2013/10/21,276.0034403
2013/10/22,460.0057339
2013/10/23,319.5829309
2013/10/24,285.6877716
2013/10/25,261.4769435
2013/10/26,77.47464992
2013/10/27,62.94815306
2013/10/28,484.216562
2013/10/29,455.1635683
2013/10/30,251.7926122
2013/10/31,222.7396185
2013/11/1,208.2131217
2013/11/2,67.79031868
2013/11/3,43.57949058
2013/11/4,184.0022936
2013/11/5,198.5287904
2013/11/6,198.5287904
2013/11/7,188.8444592
2013/11/8,179.1601279
2013/11/9,67.79031868
2013/11/10,53.26382182
2013/11/11,169.4757967
2013/11/12,169.4757967
2013/11/13,169.4757967
2013/11/14,164.6336311
2013/11/15,169.4757967
2013/11/16,48.4216562
2013/11/17,43.57949058
2013/11/18,174.3179623
2013/11/19,159.7914655
