Date,GOOG
2013/2/27,249.0784387
2013/2/28,245.9649583
2013/3/1,245.9649583
2013/3/2,224.1705949
2013/3/3,217.9436339
2013/3/4,242.8514778
2013/3/5,242.8514778
2013/3/6,255.3053997
2013/3/7,236.6245168
2013/3/8,252.1919192
2013/3/9,214.8301534
2013/3/10,205.489712
2013/3/11,239.7379973
2013/3/12,245.9649583
2013/3/13,261.5323607
2013/3/14,249.0784387
2013/3/15,233.5110363
2013/3/16,227.2840754
2013/3/17,221.0571144
2013/3/18,239.7379973
2013/3/19,230.3975558
2013/3/20,242.8514778
2013/3/21,249.0784387
2013/3/22,233.5110363
2013/3/23,236.6245168
2013/3/24,230.3975558
2013/3/25,236.6245168
2013/3/26,230.3975558
2013/3/27,239.7379973
2013/3/28,242.8514778
2013/3/29,227.2840754
2013/3/30,217.9436339
2013/3/31,224.1705949
2013/4/1,245.9649583
2013/4/2,237.5797892
2013/4/3,240.3748456
2013/4/4,229.1946202
2013/4/5,237.5797892
2013/4/6,206.8341694
2013/4/7,206.8341694
2013/4/8,226.3995638
2013/4/9,248.7600146
2013/4/10,231.9896765
2013/4/11,234.7847329
2013/4/12,226.3995638
2013/4/13,218.0143948
2013/4/14,212.4242821
2013/4/15,251.5550709
2013/4/16,245.9649583
2013/4/17,243.1699019
2013/4/18,268.325409
2013/4/19,262.7352963
2013/4/20,229.1946202
2013/4/21,201.2440568
2013/4/22,245.9649583
2013/4/23,240.3748456
2013/4/24,248.7600146
2013/4/25,257.1451836
2013/4/26,240.3748456
2013/4/27,212.4242821
2013/4/28,209.6292258
2013/4/29,243.1699019
2013/4/30,243.1699019
2013/5/1,234.7847329
2013/5/2,254.3501273
2013/5/3,240.3748456
2013/5/4,223.6045075
2013/5/5,215.2193385
2013/5/6,234.7847329
2013/5/7,240.3748456
2013/5/8,245.9649583
2013/5/9,245.9649583
2013/5/10,251.5550709
2013/5/11,215.2193385
2013/5/12,220.8094512
2013/5/13,248.7600146
2013/5/14,257.1451836
2013/5/15,279.5056344
2013/5/16,271.1204654
2013/5/17,245.9649583
2013/5/18,212.4242821
2013/5/19,209.6292258
2013/5/20,243.1699019
2013/5/21,251.5550709
2013/5/22,243.1699019
2013/5/23,245.9649583
2013/5/24,226.3995638
2013/5/25,212.4242821
2013/5/26,204.0391131
2013/5/27,218.0143948
2013/5/28,229.1946202
2013/5/29,231.9896765
2013/5/30,231.9896765
2013/5/31,237.5797892
2013/6/1,218.0143948
2013/6/2,212.4242821
2013/6/3,237.5797892
2013/6/4,234.7847329
2013/6/5,237.5797892
2013/6/6,226.3995638
2013/6/7,231.9896765
2013/6/8,220.8094512
2013/6/9,223.6045075
2013/6/10,251.5550709
2013/6/11,226.3995638
2013/6/12,226.3995638
2013/6/13,223.6045075
2013/6/14,240.3748456
2013/6/15,218.0143948
2013/6/16,212.4242821
2013/6/17,231.9896765
2013/6/18,229.1946202
2013/6/19,245.9649583
2013/6/20,237.5797892
2013/6/21,237.5797892
2013/6/22,209.6292258
2013/6/23,226.3995638
2013/6/24,231.9896765
2013/6/25,234.7847329
2013/6/26,229.1946202
2013/6/27,223.6045075
2013/6/28,229.1946202
2013/6/29,220.8094512
2013/6/30,215.2193385
2013/7/1,237.5797892
2013/7/2,231.4879998
2013/7/3,231.4879998
2013/7/4,213.2126314
2013/7/5,234.5338945
2013/7/6,213.2126314
2013/7/7,219.3044208
2013/7/8,240.625684
2013/7/9,225.3962103
2013/7/10,222.3503156
2013/7/11,237.5797892
2013/7/12,240.625684
2013/7/13,219.3044208
2013/7/14,213.2126314
2013/7/15,234.5338945
2013/7/16,228.442105
2013/7/17,225.3962103
2013/7/18,264.9928418
2013/7/19,271.0846313
2013/7/20,228.442105
2013/7/21,216.2585261
2013/7/22,234.5338945
2013/7/23,219.3044208
2013/7/24,237.5797892
2013/7/25,243.6715787
2013/7/26,219.3044208
2013/7/27,219.3044208
2013/7/28,213.2126314
2013/7/29,234.5338945
2013/7/30,222.3503156
2013/7/31,231.4879998
2013/8/1,234.5338945
2013/8/2,249.7633682
2013/8/3,216.2585261
2013/8/4,213.2126314
2013/8/5,234.5338945
2013/8/6,237.5797892
2013/8/7,228.442105
2013/8/8,219.3044208
2013/8/9,231.4879998
2013/8/10,219.3044208
2013/8/11,213.2126314
2013/8/12,234.5338945
2013/8/13,225.3962103
2013/8/14,228.442105
2013/8/15,240.625684
2013/8/16,234.5338945
2013/8/17,225.3962103
2013/8/18,216.2585261
2013/8/19,252.8092629
2013/8/20,240.625684
2013/8/21,234.5338945
2013/8/22,234.5338945
2013/8/23,231.4879998
2013/8/24,210.1667366
2013/8/25,210.1667366
2013/8/26,237.5797892
2013/8/27,234.5338945
2013/8/28,231.4879998
2013/8/29,231.4879998
2013/8/30,228.442105
2013/8/31,207.1208419
2013/9/1,216.2585261
2013/9/2,207.1208419
2013/9/3,225.3962103
2013/9/4,228.442105
2013/9/5,246.7174734
2013/9/6,225.3962103
2013/9/7,204.0749472
2013/9/8,201.0290524
2013/9/9,234.5338945
2013/9/10,240.625684
2013/9/11,222.3503156
2013/9/12,225.3962103
2013/9/13,219.3044208
2013/9/14,216.2585261
2013/9/15,210.1667366
2013/9/16,231.4879998
2013/9/17,225.3962103
2013/9/18,234.5338945
2013/9/19,243.6715787
2013/9/20,240.625684
2013/9/21,234.5338945
2013/9/22,231.4879998
2013/9/23,264.9928418
2013/9/24,261.9469471
2013/9/25,271.0846313
2013/9/26,268.0387366
2013/9/27,304.5894734
2013/9/28,255.8551576
2013/9/29,261.9469471
2013/9/30,295.4517892
2013/10/1,286.314105
2013/10/2,274.0435005
2013/10/3,282.2239035
2013/10/4,269.953299
2013/10/5,249.5022915
2013/10/6,249.5022915
2013/10/7,274.0435005
2013/10/8,290.4043065
2013/10/9,278.133702
2013/10/10,274.0435005
2013/10/11,269.953299
2013/10/12,253.592493
2013/10/13,237.231687
2013/10/14,274.0435005
2013/10/15,274.0435005
2013/10/16,265.8630975
2013/10/17,319.035717
2013/10/18,409.0201499
2013/10/19,294.494508
2013/10/20,257.6826945
2013/10/21,323.1259185
2013/10/22,314.9455155
2013/10/23,302.674911
2013/10/24,282.2239035
2013/10/25,278.133702
2013/10/26,245.41209
2013/10/27,245.41209
2013/10/28,298.5847095
2013/10/29,282.2239035
2013/10/30,278.133702
2013/10/31,282.2239035
2013/11/1,253.592493
2013/11/2,249.5022915
2013/11/3,229.051284
2013/11/4,282.2239035
2013/11/5,286.314105
2013/11/6,278.133702
2013/11/7,294.494508
